Employee_ID,Name,Department,Role,Date_of_Joining,Salary,Gender,Age,Education_Level
193,Selena Patterson,Sales,Intern,25-12-2015,35704,Female,60,Bachelors
194,Matthew Smith,IT,Associate,22-08-2018,129304,Female,46,Masters
195,Julie Gutierrez,Marketing,Manager,09-06-2020,156969,Unknown,37,Masters
196,Mark Bates,Sales,Manager,23-08-2023,93449,Female,60,Masters
197,Matthew Nelson,Finance,Executive,07-10-2018,165832,Unknown,56,PhD
198,Anna Taylor,Sales,Manager,30-11-2020,76819,Female,60,Bachelors
199,Brenda Oliver,Sales,Intern,10-08-2021,194246,Female,42,Masters
200,David Bailey,Sales,Intern,06-10-2018,87716,Unknown,30,Bachelors
201,Carl Herring,HR,Associate,18-12-2021,116365,Female,33,Bachelors
202,Dr. Holly Martinez,HR,Executive,27-10-2024,185683,Female,59,Masters
203,Andrew Henderson,Sales,Associate,21-05-2024,101031,Unknown,48,Bachelors
204,Anita Gonzalez,Finance,Associate,23-09-2025,108006,Female,45,Bachelors
205,William Wiggins,IT,Intern,29-09-2024,192982,Unknown,27,Masters
206,Stephen Peterson,Sales,Associate,11-02-2016,47014,Male,52,Bachelors
207,Teresa Bishop,Sales,Manager,19-12-2018,34358,Unknown,40,PhD
208,Molly Hawkins,Sales,Associate,06-03-2021,106329,Male,29,Masters
209,Katherine Hendrix,Finance,Intern,20-03-2024,84253,Unknown,41,Masters
210,Veronica Anderson,Sales,Intern,01-11-2020,171178,Male,38,Bachelors
211,Luis Clark,HR,Intern,21-01-2025,175556,Female,22,Bachelors
212,Mary Olson,IT,Associate,05-02-2017,72828,Male,51,Bachelors
213,Sandy Foster,Sales,Associate,04-10-2020,30207,Unknown,57,Bachelors
214,Carlos Quinn,HR,Analyst,04-09-2019,78231,Male,32,Masters
215,Robert Jackson,Sales,Executive,15-12-2021,145700,Female,22,Bachelors
216,Thomas Campbell,Marketing,Manager,03-11-2015,35782,Female,60,Masters
217,Calvin Howard,Sales,Analyst,08-05-2016,66035,Male,22,Bachelors
218,Samuel Bell,Marketing,Manager,29-09-2019,103861,Male,28,Bachelors
219,Michelle Gray,Sales,Analyst,04-08-2018,59984,Female,55,Bachelors
220,Ann Sweeney,Sales,Associate,26-08-2019,196370,Female,55,PhD
221,Mark Kelly,IT,Intern,21-09-2023,70108,Unknown,55,Masters
222,Gerald Keller,Finance,Analyst,31-08-2018,194685,Unknown,46,PhD
223,Zachary Rice,Marketing,Associate,02-07-2020,170146,Male,54,Masters
224,Donald Blair,Finance,Executive,13-03-2019,76851,Unknown,25,Bachelors
225,Kristin Gonzalez,HR,Executive,13-09-2019,87022,Male,31,Bachelors
226,Kathy Vega,HR,Manager,17-02-2016,66411,Male,35,Masters
227,Kara White,Operations,Associate,26-06-2016,111579,Female,30,Masters
228,Joanne Farrell,HR,Executive,13-03-2017,66411,Unknown,54,Masters
229,Justin Nguyen,HR,Analyst,31-05-2017,58380,Female,60,Masters
230,Elizabeth Mason,Sales,Associate,23-04-2016,147360,Female,40,Masters
231,Jennifer Baker,IT,Analyst,22-02-2019,173670,Female,49,Bachelors
232,Courtney Russell,HR,Manager,08-09-2024,93936,Male,27,Bachelors
233,Emily Cook,Sales,Intern,30-05-2019,37788,Male,42,Bachelors
234,Patrick Webster,IT,Associate,14-11-2023,122601,Male,37,PhD
235,Jennifer Ortega,Sales,Analyst,07-01-2025,156303,Male,44,PhD
236,Joseph Rodriguez,Sales,Manager,22-06-2025,168051,Unknown,35,Bachelors
237,Jodi Fuller,Finance,Analyst,26-04-2018,99519,Unknown,50,PhD
238,Thomas Norris,Sales,Executive,17-04-2017,119489,Unknown,31,Bachelors
239,Mark Jensen,Sales,Manager,17-02-2017,114080,Female,34,Bachelors
240,Steven Turner,Finance,Executive,19-12-2022,67643,Female,58,Bachelors
241,Paul Miller,HR,Manager,12-08-2021,112566,Female,23,Masters
242,Jennifer Mejia,Sales,Analyst,21-07-2018,149246,Male,36,Masters
243,Patricia Miller,Sales,Manager,12-08-2016,87804,Male,50,Masters
244,Kenneth Stafford,Operations,Executive,18-04-2017,39496,Unknown,33,Bachelors
245,Jesse Hughes,Marketing,Intern,20-11-2016,120868,Female,47,PhD
246,Erik Brown,Finance,Executive,12-04-2025,198972,Male,54,Bachelors
247,Dawn Griffin,Operations,Intern,30-11-2016,119464,Female,56,Bachelors
248,Samantha Owens,Finance,Intern,09-03-2025,42087,Male,35,Bachelors
249,Alexander Flores,Marketing,Associate,16-01-2019,103445,Unknown,48,Masters
250,Rachel Buchanan,Sales,Intern,19-09-2022,197132,Male,27,Masters
251,Johnny Jimenez,IT,Manager,19-01-2018,139079,Unknown,23,Masters
252,Judy Oconnell,Marketing,Intern,29-01-2024,139458,Unknown,55,Bachelors
253,Austin Park,Sales,Associate,27-12-2023,195009,Unknown,42,PhD
254,Brooke Hines,Operations,Intern,27-07-2016,63787,Unknown,45,PhD
255,Dustin Kline,Sales,Associate,31-03-2018,79811,Female,28,PhD
256,Melinda Kelly,HR,Analyst,26-11-2020,66411,Female,50,Bachelors
257,Lori Johnson,Sales,Manager,15-05-2018,100553,Male,26,Masters
258,Janet Sutton,Sales,Analyst,01-05-2023,176150,Male,41,PhD
259,Deborah Jones,Sales,Associate,15-12-2024,97155,Male,48,Bachelors
260,Janet Marsh,Finance,Associate,11-08-2025,162503,Male,49,Masters
261,Ronnie Miller,Marketing,Manager,13-03-2017,194044,Unknown,22,PhD
262,Cheryl Parker,IT,Manager,12-07-2017,70785,Unknown,36,Bachelors
263,Deanna Mcgrath,Operations,Associate,19-07-2022,168999,Unknown,52,Masters
264,Susan Andrews MD,Sales,Manager,05-01-2016,179817,Male,39,Bachelors
265,David Moore,Finance,Analyst,01-02-2018,36304,Unknown,25,Bachelors
266,Shannon Brown,Operations,Intern,23-02-2018,92032,Female,23,PhD
267,James Owens,Marketing,Executive,24-04-2019,113457,Female,46,Bachelors
268,Stephen Johnson,IT,Intern,04-10-2017,99286,Female,41,Bachelors
269,Danny Gonzalez,Sales,Associate,25-06-2019,130158,Male,38,PhD
270,Francis Cochran,Marketing,Associate,07-12-2017,93870,Male,27,Bachelors
271,Keith Miller,HR,Manager,09-08-2021,30781,Male,28,Masters
272,Alexis Contreras,Marketing,Manager,08-10-2017,111816,Unknown,54,PhD
273,Ashley Brown,Sales,Analyst,27-07-2021,91001,Male,52,Bachelors
274,Jill White,IT,Analyst,19-03-2019,36710,Unknown,54,Masters
275,Heather Washington,Marketing,Executive,01-01-2017,120868,Female,34,PhD
276,Thomas Martin,Sales,Executive,05-01-2016,159951,Unknown,23,PhD
277,Brian Medina,Sales,Associate,19-05-2023,135487,Unknown,53,Bachelors
278,Crystal Khan,IT,Analyst,02-06-2025,82756,Unknown,28,PhD
279,Gary Campbell,Marketing,Manager,29-06-2018,56819,Female,57,Bachelors
280,Angela Mitchell,Marketing,Executive,22-05-2016,179960,Male,55,Bachelors
281,Matthew Morris,Finance,Analyst,15-08-2019,39346,Unknown,24,Bachelors
282,Jennifer Hansen,Operations,Associate,24-09-2017,106975,Unknown,44,Bachelors
283,James Woods,Finance,Analyst,16-05-2019,167488,Unknown,28,Bachelors
284,Victor Young,Marketing,Analyst,30-04-2023,153950,Female,31,Bachelors
285,John Watson,Sales,Executive,08-03-2025,93278,Unknown,37,Masters
286,Stephen Sanchez,Marketing,Intern,05-11-2023,59516,Female,36,PhD
287,David Robbins,HR,Analyst,01-11-2023,32659,Female,25,Bachelors
288,Lisa Nelson,Sales,Associate,19-09-2021,48351,Female,38,Bachelors
289,Erica Sutton,Sales,Intern,24-08-2018,108610,Female,45,Bachelors
290,Brian Clark,Marketing,Associate,13-07-2018,89711,Unknown,40,Bachelors
291,James Coleman,HR,Executive,25-06-2018,66411,Female,35,PhD
292,Melanie Berry,HR,Analyst,03-02-2025,84869,Unknown,41,Bachelors
293,Jennifer Brown,Operations,Manager,24-09-2025,81631,Male,56,Masters
294,Megan Baker,IT,Associate,29-07-2021,168923,Unknown,34,PhD
295,Jeremy Floyd,Marketing,Intern,10-04-2020,120868,Female,58,Bachelors
296,Samuel Clark,IT,Executive,25-05-2018,192331,Male,41,PhD
297,Lucas Soto,Sales,Executive,06-12-2019,193324,Male,50,Masters
298,Holly Armstrong,Sales,Manager,05-06-2021,58933,Unknown,45,Bachelors
299,Douglas Miller,HR,Executive,15-03-2024,113375,Male,34,Masters
300,Patrick Diaz,Sales,Executive,01-04-2016,33828,Female,60,Masters
301,Yolanda Brown,Sales,Associate,01-09-2021,63623,Unknown,44,Bachelors
302,Maria Rollins,IT,Manager,01-05-2021,113276,Male,40,Bachelors
303,Jason Tucker,HR,Manager,08-08-2016,66411,Unknown,54,Bachelors
304,Matthew Livingston,Operations,Executive,25-02-2017,111579,Unknown,57,Bachelors
305,Justin Montoya,IT,Manager,25-10-2022,175448,Male,58,PhD
306,Vincent Wallace,Sales,Intern,22-07-2021,100194,Male,44,Bachelors
307,Brad Delgado,IT,Manager,22-10-2021,191445,Female,40,PhD
308,Heather Fuller,HR,Manager,04-07-2023,198509,Female,24,Bachelors
309,Alexander Petty,Marketing,Executive,13-07-2017,40516,Unknown,48,PhD
310,Faith Greene,Operations,Manager,01-05-2025,178930,Unknown,37,Bachelors
311,Randy Young,HR,Analyst,14-01-2019,131665,Female,38,PhD
312,Brian Jones,Operations,Intern,17-08-2016,124333,Unknown,41,Bachelors
313,Ernest Choi,Finance,Intern,16-09-2016,121575,Female,27,Bachelors
314,Nicole Evans,Finance,Manager,12-04-2023,77093,Female,30,Bachelors
315,Dr. Adrienne Ross,Sales,Manager,20-09-2019,188806,Unknown,55,Bachelors
316,John Brewer,Operations,Intern,31-05-2018,176920,Female,31,Bachelors
317,John Smith,Sales,Analyst,08-11-2021,116836,Unknown,44,Masters
318,Jonathan Brown,IT,Associate,20-05-2025,191726,Unknown,48,Masters
319,Kimberly Fitzgerald,Finance,Analyst,14-08-2019,115090,Unknown,49,Bachelors
320,Olivia Schultz,IT,Analyst,28-06-2021,148418,Female,30,Bachelors
321,Brent Miller,IT,Analyst,17-08-2021,31708,Male,41,PhD
322,Stephanie Foster,Sales,Associate,01-08-2024,193324,Male,48,PhD
323,Alan Carey,HR,Associate,25-12-2019,136233,Male,28,Bachelors
324,Paul Clark,IT,Executive,20-05-2019,152813,Unknown,33,Bachelors
325,Derrick Hernandez,Operations,Analyst,31-05-2021,71862,Unknown,38,Masters
326,Dr. Zachary Davis PhD,Sales,Executive,05-01-2017,176144,Female,29,Masters
327,Brian Gardner,Finance,Executive,03-04-2023,151668,Unknown,53,Bachelors
328,Derek Velasquez,Marketing,Intern,21-11-2016,183385,Female,51,Bachelors
329,Craig Ortega,IT,Executive,12-10-2021,107842,Male,50,Bachelors
330,Ashley Dennis,Sales,Executive,25-03-2025,96624,Female,46,Bachelors
331,Mallory Dean,Sales,Intern,26-08-2025,105969,Male,33,Bachelors
332,Kayla Morris,HR,Manager,17-12-2022,84189,Unknown,37,PhD
333,Rachel Johnson,Sales,Executive,07-08-2019,101312,Male,38,PhD
334,Miss Phyllis Thomas,Finance,Executive,26-04-2023,83117,Male,44,Masters
335,Jessica Griffin,Finance,Manager,10-06-2025,176664,Unknown,56,PhD
336,Patricia White,Sales,Intern,04-07-2024,193324,Female,47,Bachelors
337,Jeffrey Jones,Operations,Executive,13-08-2016,30159,Female,42,Bachelors
338,Grace Cannon,Marketing,Associate,11-05-2019,120868,Unknown,29,Bachelors
339,Alexander Dixon,Finance,Associate,18-11-2020,108006,Female,59,Bachelors
340,Mary Horn,Finance,Intern,01-08-2024,85103,Male,30,Bachelors
341,Debra Roberts,HR,Analyst,12-06-2023,143550,Unknown,49,Bachelors
342,Kelly Leonard,Finance,Intern,30-07-2019,59796,Female,57,Bachelors
343,Cory Collier,Sales,Intern,30-07-2019,105357,Female,50,Bachelors
344,Laurie Leonard,Operations,Executive,07-05-2024,180043,Female,47,Masters
345,David Ware,Marketing,Analyst,17-02-2025,84120,Male,32,Masters
346,Sara Allen,Sales,Intern,14-11-2017,59320,Unknown,44,Bachelors
347,Debbie Palmer,Marketing,Intern,19-08-2024,77377,Unknown,41,PhD
348,Daniel Hernandez,Operations,Manager,13-11-2019,92507,Unknown,22,Bachelors
349,Gregory Sharp,Sales,Intern,22-03-2021,163172,Female,50,Bachelors
350,Carol Howell,Operations,Analyst,12-06-2018,126664,Female,35,Masters
351,Catherine Holt,HR,Associate,22-01-2019,154577,Unknown,33,Bachelors
352,Matthew Curry,Sales,Intern,01-03-2017,60431,Female,42,PhD
353,Douglas Combs,Marketing,Intern,04-05-2024,82870,Female,24,Masters
354,Elizabeth Martin,IT,Associate,25-11-2018,120306,Female,24,PhD
355,Gina Watson,Marketing,Executive,08-08-2022,61131,Female,33,Bachelors
